vendor_id,vendor_name,city,state,logo_filename,notes
378,Ackerman's Used Parts,Prosperity,SC,,
348,Acme Foreign Auto Wreckers,Santa Rosa,CA,,
61,"Action Auto Parts of St. Paul, Inc.",St. Paul,MN,,
62,"Action Auto Recyclers, Inc.",Barberton,OH,,
63,Affordable Auto Parts,Tannersville,PA,,
64,Affordable Auto Wrecking,Calgary,AB,,
65,Affordable Motors of Brooklyn,Brooklyn,NY,,
66,Aimes Auto Parts,Winnipeg,MB,,
379,Al's Auto Parts,Corpus Christi,TX,,
380,Al's Auto Salvage,Oklahoma City,OK,,
15,"Albert's Used Auto Parts, LLC.",Thomaston,CT,,
67,All American Auto Wreckers,East Patchogue,NY,,
381,All Arizona Auto Recycling,Phoenix,AZ,,
349,All Auto Salvage,Titusville,FL,,
382,All Day Auto Parts,Houston,TX,,
322,All Dodge Truck Parts,Rancho Cordova,CA,,
308,All Foreign Auto Parts,Pittsburgh,PA,,
314,All Import Auto Parts,Fort Worth,TX,,
68,All Japanese Auto,Las Vegas,NV,,
69,All Parts Auto & Truck Salvage,Springfield,MO,,
16,All Pro Used Auto Parts,Auburndale,FL,,
17,All Small Auto Wrecking,Midvale,UT,,
70,All Star Auto Salvage - South,Lawrenceburg,TN,,
96,Allen's Auto Salvage,Lewisberry,PA,,
374,Alpha Automotive,Pulaski,WI,,
97,Alpine Auto Inc.,Los Angeles,CA,,
35,Always Affordable Automotive,Federal Way,WA,,
383,American & Import Auto Parts,Seffner,FL,,
307,"American AutoNetworks, Inc.",Van Nuys,CA,,
98,Andersen Wrecking Co.,Kearney,NE,,
350,Anderson's Auto Towing & Recycling,Tuscola,IL,,
315,Andrew's Auto Parts,White Plains,MD,,
99,Any Kar Auto Parts,Gardena,CA,,
100,Anzo Auto Services,Orlando,FL,,
36,Apache Auto Wrecking,Apache Junction,AZ,,
101,Apple Auto Dismantling,Wilmington,CA,,
351,Archies Auto Recyclers Inc.,Merrillville,IN,,
6,Arite Used Auto Parts,New Britain,CT,,
323,Arizona Desert Specialties,Tucson,AZ,,
102,Art's Parts,Middletown,OH,,
103,Astro Auto Wrecking,Wilmington,CA,,
325,Aurora Auto Wrecking,Seattle,WA,,
37,Auto Adventure Inc.,Portland,OR,,
104,Auto Express,Williamstown,NJ,,
38,Auto Gator Roseville,Roseville,CA,,
384,Auto Lab LLC,Decatur,MS,,
105,Auto Parts 2 Fix,Elizabethton,TN,,
385,Auto Parts Pros,Lakeland,FL,,
106,Auto Parts of Shelby,Shelby,NC,,
107,Auto Recyclers of Kansas,Wichita,KS,,
1,Auto Recycling Mall,Maricopa,AZ,,
108,Auto Source Industries,Woodstock,GA,,
109,"B & M / King George Auto Parts, Inc.",King George,VA,,
342,B & R Auto Wrecking,Albany,OR,,
110,B & S Auto Wrecking,Hines,OR,,
111,B & W Auto Salvage,Springfield,MO,,
352,B Auto Parts,East Saint Louis,IL,,
